Year,Month,Day,Hour,Tair,Tdew,RelH,WndS,WndD,Pres
2015,1,2,22,-8.7,-16.9,52.0,33.0,300.0,1011.0
2015,1,2,23,-10.1,-17.8,54.0,31.0,300.0,1012.3
2015,1,3,0,-11.1,-18.9,53.0,27.0,290.0,1013.5
2015,1,3,1,-12.0,-19.8,53.0,29.0,290.0,1015.1
2015,1,3,2,-13.2,-20.2,56.0,26.0,290.0,1016.8
2015,1,3,3,-14.1,-20.9,57.0,30.0,290.0,1018.9
2015,1,3,4,-14.6,-21.2,58.0,25.0,290.0,1019.9
2015,1,3,5,-15.0,-21.1,60.0,30.0,300.0,1021.3
2015,1,3,6,-15.4,-21.7,59.0,25.0,290.0,1023.0
2015,1,3,7,-15.8,-21.5,62.0,21.0,300.0,1024.0
2015,1,3,8,-16.1,-21.8,62.0,20.0,280.0,1025.3
2015,1,3,9,-15.6,-21.7,60.0,24.0,280.0,1027.1
2015,1,3,10,-15.0,-19.8,67.0,24.0,270.0,1028.0
2015,1,3,11,-14.7,-21.1,59.0,33.0,290.0,1028.8
2015,1,3,12,-14.5,-21.1,58.0,28.0,300.0,1029.5
2015,1,3,13,-13.8,-21.0,55.0,22.0,290.0,1029.2
2015,1,3,14,-13.7,-20.9,55.0,18.0,310.0,1029.7
2015,1,3,15,-13.6,-21.1,54.0,21.0,280.0,1031.5
2015,1,3,16,-13.9,-21.3,54.0,20.0,290.0,1032.7
2015,1,3,17,-14.4,-21.0,58.0,14.0,290.0,1033.0
2015,1,3,18,-14.6,-20.8,60.0,11.0,260.0,1033.7
2015,1,3,19,-14.8,-20.6,62.0,10.0,260.0,1034.4
2015,1,3,20,-14.9,-20.5,63.0,10.0,250.0,1034.2
2015,1,3,21,-15.1,-20.1,66.0,10.0,230.0,1034.4
2015,1,3,22,-14.6,-20.0,64.0,12.0,230.0,1033.8
2015,1,3,23,-13.7,-19.9,60.0,11.0,250.0,1033.8
2015,1,4,0,-12.9,-18.9,61.0,4.0,260.0,1032.9
2015,1,4,1,-12.4,-18.3,62.0,8.0,230.0,1032.4
2015,1,4,2,-11.8,-17.5,63.0,4.0,200.0,1031.4
2015,1,4,3,-11.2,-16.2,67.0,3.0,140.0,1031.4
2015,1,4,4,-10.6,-13.6,79.0,10.0,140.0,1031.1
2015,1,4,5,-10.9,-12.5,88.0,14.0,130.0,1028.7
2015,1,4,6,-10.3,-11.9,88.0,16.0,130.0,1027.9
2015,1,4,7,-9.8,-11.4,88.0,23.0,130.0,1025.9
2015,1,4,8,-9.7,-11.3,88.0,22.0,120.0,1023.8
2015,1,4,9,-9.0,-10.5,89.0,20.0,120.0,1022.2
2015,1,4,10,-8.0,-9.4,90.0,20.0,120.0,1019.8
2015,1,4,11,-7.1,-8.5,90.0,24.0,120.0,1017.1
2015,1,4,12,-5.8,-7.2,90.0,27.0,110.0,1013.5
2015,1,4,13,-4.3,-5.6,91.0,26.0,110.0,1010.4
2015,1,4,14,-2.9,-4.2,91.0,31.0,110.0,1007.6
2015,1,4,15,-2.3,-3.4,92.0,40.0,110.0,1004.5
2015,1,4,16,-1.3,-2.3,93.0,36.0,110.0,1001.7
2015,1,4,17,-0.3,-1.3,93.0,18.0,130.0,1000.7
2015,1,4,18,0.2,-0.4,96.0,22.0,130.0,998.8
2015,1,4,19,0.6,0.0,96.0,19.0,140.0,997.6
2015,1,4,20,0.9,0.5,97.0,20.0,140.0,995.0
2015,1,4,21,1.4,1.0,97.0,23.0,150.0,993.7
2015,1,4,22,2.1,1.8,98.0,27.0,160.0,992.8
2015,1,4,23,2.2,2.1,99.0,23.0,170.0,991.9
2015,1,5,0,3.7,3.6,99.0,17.0,200.0,990.9
2015,1,5,1,4.6,4.5,99.0,16.0,200.0,989.9
2015,1,5,2,5.7,5.6,99.0,11.0,230.0,988.2
2015,1,5,3,5.7,5.6,99.0,11.0,230.0,987.9
2015,1,5,4,5.6,5.5,99.0,12.0,200.0,987.1
2015,1,5,5,4.6,4.5,99.0,8.0,260.0,985.5
2015,1,5,6,3.7,3.6,99.0,10.0,150.0,983.3
2015,1,5,7,4.5,4.4,99.0,20.0,250.0,985.1
2015,1,5,8,2.4,0.8,89.0,26.0,260.0,986.4
2015,1,5,9,2.2,-0.7,81.0,32.0,250.0,986.6
2015,1,5,10,2.3,-1.7,75.0,38.0,250.0,987.3
2015,1,5,11,1.3,-4.6,65.0,43.0,250.0,987.9
2015,1,5,12,0.7,-4.5,68.0,30.0,250.0,987.7
2015,1,5,13,0.1,-6.3,62.0,39.0,260.0,987.5
2015,1,5,14,-0.7,-7.5,60.0,39.0,260.0,988.6
2015,1,5,15,-2.4,-9.6,58.0,44.0,260.0,989.9
2015,1,5,16,-3.8,-10.9,58.0,45.0,260.0,991.4
2015,1,5,17,-4.6,-10.6,63.0,30.0,250.0,991.8
2015,1,5,18,-5.2,-11.8,60.0,37.0,250.0,992.4
2015,1,5,19,-6.8,-13.5,59.0,39.0,260.0,994.0
2015,1,5,20,-8.1,-12.8,69.0,36.0,260.0,995.2
2015,1,5,21,-9.3,-15.5,61.0,38.0,270.0,997.0
2015,1,5,22,-10.7,-16.5,63.0,41.0,260.0,998.6
2015,1,5,23,-12.1,-18.6,59.0,42.0,270.0,999.6
2015,1,6,0,-13.4,-19.6,60.0,42.0,260.0,1000.0
2015,1,6,1,-14.3,-20.3,61.0,37.0,270.0,1001.1
2015,1,6,2,-15.1,-20.9,62.0,39.0,260.0,1001.9
2015,1,6,3,-16.2,-22.5,59.0,39.0,280.0,1002.9
2015,1,6,4,-16.7,-23.0,59.0,35.0,270.0,1004.0
2015,1,6,5,-17.3,-23.5,59.0,39.0,280.0,1005.0
2015,1,6,6,-17.8,-23.4,62.0,30.0,270.0,1006.2
2015,1,6,7,-18.3,-23.9,62.0,34.0,270.0,1007.5
2015,1,6,8,-18.8,-24.2,63.0,29.0,270.0,1008.9
2015,1,6,9,-19.0,-25.0,60.0,38.0,260.0,1010.1
2015,1,6,10,-18.9,-24.7,61.0,35.0,270.0,1010.6
2015,1,6,11,-18.6,-24.8,59.0,34.0,250.0,1010.7
2015,1,6,12,-18.3,-24.5,59.0,32.0,260.0,1010.1
2015,1,6,13,-17.7,-24.5,56.0,28.0,280.0,1010.0
2015,1,6,14,-17.6,-24.6,55.0,28.0,250.0,1010.7
2015,1,6,15,-16.9,-24.0,55.0,26.0,260.0,1011.2
2015,1,6,16,-17.4,-24.9,53.0,24.0,250.0,1011.5
2015,1,6,17,-17.6,-24.4,56.0,13.0,260.0,1011.2
2015,1,6,18,-17.6,-24.0,58.0,13.0,250.0,1011.3
2015,1,6,19,-17.4,-23.4,60.0,10.0,250.0,1011.9
2015,1,6,20,-17.1,-23.5,58.0,17.0,280.0,1012.3
2015,1,6,21,-17.4,-24.0,57.0,20.0,280.0,1012.1
2015,1,6,22,-17.7,-24.1,58.0,13.0,290.0,1011.3
2015,1,6,23,-17.8,-23.8,60.0,10.0,290.0,1010.8
2015,1,7,0,-17.6,-23.2,62.0,9.0,270.0,1010.3
2015,1,7,1,-17.5,-23.2,62.0,12.0,260.0,1009.8
2015,1,7,2,-17.4,-23.1,62.0,11.0,300.0,1008.9
2015,1,7,3,-17.5,-22.4,66.0,4.0,310.0,1008.6
2015,1,7,4,-17.5,-22.4,66.0,5.0,240.0,1008.2
2015,1,7,5,-17.6,-22.3,67.0,4.0,240.0,1007.1
2015,1,7,6,-17.5,-21.7,70.0,9.0,240.0,1006.8
2015,1,7,7,-17.1,-20.5,75.0,10.0,270.0,1006.7
2015,1,7,8,-16.9,-20.0,77.0,6.0,300.0,1006.5
2015,1,7,9,-16.4,-19.4,78.0,6.0,300.0,1005.8
2015,1,7,10,-15.4,-18.6,77.0,8.0,270.0,1005.3
2015,1,7,11,-14.4,-18.4,72.0,8.0,320.0,1004.2
2015,1,7,12,-13.2,-18.1,67.0,8.0,330.0,1003.6
2015,1,7,13,-12.2,-18.5,60.0,5.0,240.0,1002.2
2015,1,7,14,-11.7,-18.2,59.0,4.0,160.0,1001.3
2015,1,7,15,-11.7,-18.4,58.0,4.0,350.0,1000.7
2015,1,7,16,-11.8,-18.7,57.0,1.0,360.0,1001.3
2015,1,7,17,-12.6,-17.9,65.0,4.0,140.0,1001.4
2015,1,7,18,-15.5,-18.2,80.0,5.0,360.0,1000.9
2015,1,7,19,-16.8,-19.0,83.0,4.0,350.0,1000.7
2015,1,7,20,-16.6,-18.6,85.0,2.0,360.0,1000.3
2015,1,7,21,-17.0,-19.1,84.0,5.0,290.0,1000.4
2015,1,7,22,-15.1,-18.1,78.0,8.0,310.0,1000.1
2015,1,7,23,-14.2,-17.4,77.0,5.0,290.0,1000.2
2015,1,8,0,-14.5,-17.4,79.0,7.0,290.0,1000.1
2015,1,8,1,-13.8,-16.4,81.0,12.0,300.0,999.6
2015,1,8,2,-13.0,-16.1,78.0,16.0,290.0,1000.1
2015,1,8,3,-12.4,-16.0,75.0,16.0,290.0,1001.3
2015,1,8,4,-12.9,-15.4,82.0,22.0,290.0,1002.0
2015,1,8,5,-14.0,-16.6,81.0,26.0,300.0,1002.5
2015,1,8,6,-15.7,-18.7,78.0,25.0,290.0,1003.6
2015,1,8,7,-17.7,-20.7,78.0,22.0,300.0,1005.0
2015,1,8,8,-19.0,-22.5,74.0,24.0,290.0,1007.0
2015,1,8,9,-19.8,-23.8,71.0,27.0,280.0,1008.3
2015,1,8,10,-19.8,-24.3,68.0,18.0,270.0,1008.9
2015,1,8,11,-19.7,-24.9,64.0,22.0,280.0,1009.5
2015,1,8,12,-19.6,-25.3,61.0,28.0,270.0,1009.7
2015,1,8,13,-19.4,-25.5,59.0,24.0,270.0,1009.7
2015,1,8,14,-18.8,-25.4,57.0,21.0,280.0,1010.0
2015,1,8,15,-18.8,-25.6,56.0,17.0,250.0,1011.0
2015,1,8,16,-19.2,-25.3,59.0,15.0,260.0,1011.8
2015,1,8,17,-19.6,-25.5,60.0,17.0,260.0,1012.3
2015,1,8,18,-19.7,-26.0,58.0,12.0,240.0,1013.1
2015,1,8,19,-19.3,-25.8,57.0,14.0,250.0,1013.5
2015,1,8,20,-19.1,-25.6,57.0,14.0,250.0,1013.9
2015,1,8,21,-19.5,-26.4,55.0,20.0,260.0,1014.3
2015,1,8,22,-19.7,-25.8,59.0,19.0,260.0,1015.4
2015,1,8,23,-19.4,-25.9,57.0,19.0,250.0,1016.0
2015,1,9,0,-19.0,-25.7,56.0,12.0,250.0,1016.4
2015,1,9,1,-18.8,-25.4,57.0,13.0,230.0,1016.8
2015,1,9,2,-18.6,-24.4,61.0,10.0,220.0,1017.2
2015,1,9,3,-18.3,-23.2,66.0,7.0,160.0,1017.1
2015,1,9,4,-17.9,-20.7,79.0,10.0,170.0,1016.5
2015,1,9,5,-15.9,-18.5,81.0,14.0,180.0,1015.8
2015,1,9,6,-14.2,-16.8,81.0,15.0,140.0,1014.9
2015,1,9,7,-13.2,-15.7,82.0,17.0,140.0,1014.6
2015,1,9,8,-11.2,-14.3,78.0,23.0,140.0,1013.4
2015,1,9,9,-9.3,-12.1,80.0,33.0,150.0,1012.1
2015,1,9,10,-7.4,-9.4,86.0,39.0,150.0,1010.0
2015,1,9,11,-5.4,-7.5,85.0,38.0,150.0,1008.6
2015,1,9,12,-2.9,-5.2,84.0,39.0,160.0,1005.7
2015,1,9,13,-1.8,-2.5,95.0,39.0,170.0,1003.4
2015,1,9,14,-0.2,-0.9,95.0,45.0,160.0,1001.0
2015,1,9,15,1.1,-0.1,92.0,49.0,180.0,999.9
2015,1,9,16,0.6,0.0,96.0,25.0,200.0,999.9
2015,1,9,17,0.5,-0.1,96.0,24.0,230.0,1000.1
2015,1,9,18,-3.0,-4.1,92.0,25.0,300.0,1001.2
2015,1,9,19,-5.7,-7.1,90.0,22.0,300.0,1002.7
2015,1,9,20,-6.0,-8.1,85.0,9.0,290.0,1003.7
2015,1,9,21,-6.9,-10.5,76.0,16.0,260.0,1005.4
2015,1,9,22,-8.2,-10.6,83.0,10.0,240.0,1006.3
2015,1,9,23,-8.6,-10.4,87.0,10.0,240.0,1007.0
2015,1,10,0,-8.9,-11.0,85.0,12.0,240.0,1007.5
2015,1,10,1,-9.9,-11.8,86.0,10.0,230.0,1008.4
2015,1,10,2,-10.4,-12.2,87.0,6.0,230.0,1008.9
2015,1,10,3,-10.1,-12.0,86.0,8.0,230.0,1009.6
2015,1,10,4,-11.0,-12.9,86.0,9.0,270.0,1009.5
2015,1,10,5,-11.6,-13.5,86.0,10.0,220.0,1010.4
2015,1,10,6,-11.4,-13.4,85.0,10.0,240.0,1011.0
2015,1,10,7,-11.3,-13.9,81.0,14.0,250.0,1011.6
2015,1,10,8,-11.5,-14.0,82.0,9.0,230.0,1012.4
2015,1,10,9,-10.8,-13.6,80.0,8.0,220.0,1013.1
2015,1,10,10,-8.7,-14.7,62.0,20.0,250.0,1013.7
2015,1,10,11,-8.9,-16.0,57.0,23.0,260.0,1014.3
2015,1,10,12,-9.2,-16.0,58.0,25.0,270.0,1014.7
2015,1,10,13,-9.4,-16.0,59.0,21.0,260.0,1014.7
2015,1,10,14,-9.4,-15.6,61.0,21.0,260.0,1014.9
2015,1,10,15,-9.4,-16.4,57.0,22.0,260.0,1015.6
2015,1,10,16,-10.2,-17.2,57.0,13.0,270.0,1016.3
2015,1,10,17,-11.1,-17.2,61.0,7.0,250.0,1017.1
2015,1,10,18,-11.8,-16.8,67.0,4.0,220.0,1017.5
2015,1,10,19,-12.1,-16.3,71.0,9.0,240.0,1018.3
2015,1,10,20,-12.5,-16.4,73.0,9.0,210.0,1018.5
2015,1,10,21,-12.3,-16.2,73.0,8.0,210.0,1018.6
2015,1,10,22,-12.2,-16.4,71.0,10.0,200.0,1019.0
2015,1,10,23,-11.5,-16.3,68.0,13.0,240.0,1019.1
2015,1,11,0,-10.1,-17.3,56.0,22.0,270.0,1018.9
2015,1,11,1,-10.7,-16.5,63.0,12.0,260.0,1019.7
2015,1,11,2,-10.9,-16.1,66.0,18.0,260.0,1020.7
2015,1,11,3,-11.1,-16.5,65.0,16.0,260.0,1021.7
2015,1,11,4,-11.7,-17.0,65.0,13.0,270.0,1022.2
2015,1,11,5,-11.7,-17.0,65.0,13.0,270.0,1022.7
2015,1,11,6,-12.2,-17.3,66.0,8.0,260.0,1023.3
2015,1,11,7,-13.1,-17.1,72.0,8.0,200.0,1023.9
2015,1,11,8,-13.5,-16.9,76.0,10.0,210.0,1024.7
2015,1,11,9,-12.9,-16.5,75.0,8.0,220.0,1025.5
2015,1,11,10,-10.3,-15.0,69.0,12.0,200.0,1026.1
2015,1,11,11,-8.9,-16.2,56.0,22.0,270.0,1026.2
2015,1,11,12,-8.9,-15.3,60.0,24.0,250.0,1025.9
2015,1,11,13,-8.7,-14.9,61.0,16.0,250.0,1025.9
2015,1,11,14,-8.6,-15.3,59.0,19.0,250.0,1026.2
2015,1,11,15,-8.6,-15.5,58.0,18.0,250.0,1026.9
2015,1,11,16,-8.6,-14.8,61.0,10.0,240.0,1027.3
2015,1,11,17,-9.7,-14.0,71.0,6.0,200.0,1027.8
2015,1,11,18,-10.6,-14.2,75.0,7.0,200.0,1027.7
2015,1,11,19,-13.2,-15.8,81.0,4.0,190.0,1028.2
2015,1,11,20,-11.0,-14.1,78.0,8.0,190.0,1028.2
2015,1,11,21,-10.1,-13.7,75.0,11.0,210.0,1027.9
2015,1,11,22,-8.4,-11.6,78.0,10.0,200.0,1027.6
2015,1,11,23,-8.6,-11.3,81.0,8.0,170.0,1027.3
2015,1,12,0,-8.1,-10.5,83.0,5.0,150.0,1027.0
2015,1,12,1,-7.1,-9.1,86.0,10.0,170.0,1026.3
2015,1,12,2,-6.4,-8.5,85.0,14.0,150.0,1025.4
2015,1,12,3,-6.0,-8.4,83.0,17.0,160.0,1024.8
2015,1,12,4,-5.9,-7.7,87.0,13.0,150.0,1023.6
2015,1,12,5,-5.6,-6.7,92.0,12.0,160.0,1023.1
2015,1,12,6,-5.3,-6.1,94.0,12.0,170.0,1022.7
2015,1,12,7,-4.7,-5.8,92.0,10.0,200.0,1022.6
2015,1,12,8,-5.6,-6.4,94.0,8.0,230.0,1022.2
2015,1,12,9,-4.9,-7.2,84.0,13.0,260.0,1022.1
2015,1,12,10,-4.8,-8.9,73.0,6.0,250.0,1021.7
2015,1,12,11,-4.7,-9.6,69.0,4.0,230.0,1020.8
2015,1,12,12,-4.5,-8.6,73.0,9.0,180.0,1019.5
2015,1,12,13,-5.0,-7.1,85.0,8.0,170.0,1017.3
2015,1,12,14,-4.7,-6.2,89.0,9.0,140.0,1015.5
2015,1,12,15,-4.5,-5.6,92.0,8.0,120.0,1014.5
2015,1,12,16,-4.3,-5.1,94.0,7.0,100.0,1013.5
2015,1,12,17,-4.2,-5.0,94.0,7.0,320.0,1013.0
2015,1,12,18,-4.0,-4.7,95.0,5.0,310.0,1012.3
2015,1,12,19,-3.6,-4.4,94.0,8.0,260.0,1011.6
2015,1,12,20,-3.7,-4.4,95.0,9.0,260.0,1011.3
2015,1,12,21,-3.7,-4.5,94.0,10.0,260.0,1011.6
2015,1,12,22,-4.0,-4.8,94.0,9.0,270.0,1011.4
2015,1,12,23,-4.0,-5.0,93.0,12.0,280.0,1011.1
2015,1,13,0,-4.1,-5.2,92.0,13.0,290.0,1010.7
2015,1,13,1,-4.3,-5.4,92.0,12.0,310.0,1010.3
2015,1,13,2,-4.2,-5.9,88.0,18.0,330.0,1011.0
2015,1,13,3,-4.8,-7.3,83.0,23.0,330.0,1012.0
2015,1,13,4,-5.1,-6.9,87.0,21.0,340.0,1012.9
2015,1,13,5,-5.8,-9.4,76.0,19.0,340.0,1013.4
2015,1,13,6,-6.7,-10.4,75.0,32.0,340.0,1014.7
2015,1,13,7,-8.2,-11.6,77.0,26.0,350.0,1016.2
2015,1,13,8,-9.3,-13.8,70.0,25.0,330.0,1017.4
2015,1,13,9,-9.2,-13.4,72.0,24.0,340.0,1019.0
2015,1,13,10,-9.4,-12.4,79.0,24.0,330.0,1020.6
2015,1,13,11,-9.8,-11.7,86.0,22.0,340.0,1022.0
2015,1,13,12,-9.6,-13.1,76.0,27.0,330.0,1022.4
2015,1,13,13,-10.4,-12.9,82.0,26.0,320.0,1022.9
2015,1,13,14,-11.5,-14.3,80.0,27.0,320.0,1023.7
2015,1,13,15,-11.8,-15.2,76.0,28.0,330.0,1024.9
2015,1,13,16,-12.6,-16.3,74.0,21.0,310.0,1025.8
2015,1,13,17,-13.6,-17.6,72.0,17.0,300.0,1026.7
2015,1,13,18,-14.4,-17.1,80.0,19.0,270.0,1027.8
2015,1,13,19,-15.7,-19.3,74.0,13.0,280.0,1028.2
2015,1,13,20,-16.9,-20.3,75.0,10.0,260.0,1028.8
2015,1,13,21,-17.1,-20.2,77.0,9.0,230.0,1029.1
2015,1,13,22,-17.6,-20.4,79.0,11.0,220.0,1029.0
2015,1,13,23,-17.3,-20.6,76.0,7.0,230.0,1028.7
2015,1,14,0,-17.3,-19.8,81.0,10.0,250.0,1028.0
2015,1,14,1,-17.7,-20.1,82.0,5.0,240.0,1027.7
2015,1,14,2,-17.8,-19.7,85.0,11.0,240.0,1028.0
2015,1,14,3,-18.2,-20.3,84.0,13.0,220.0,1028.1
2015,1,14,4,-17.9,-21.2,76.0,19.0,240.0,1027.9
2015,1,14,5,-18.1,-22.3,70.0,14.0,260.0,1027.7
2015,1,14,6,-18.5,-22.4,72.0,8.0,230.0,1027.6
2015,1,14,7,-18.9,-22.5,74.0,6.0,200.0,1027.2
2015,1,14,8,-17.8,-20.8,78.0,10.0,210.0,1027.4
2015,1,14,9,-16.3,-19.9,74.0,9.0,200.0,1027.4
2015,1,14,10,-14.2,-18.0,73.0,13.0,210.0,1027.6
2015,1,14,11,-11.6,-15.0,76.0,16.0,210.0,1027.0
2015,1,14,12,-9.7,-15.3,64.0,18.0,200.0,1026.0
2015,1,14,13,-8.7,-14.2,65.0,12.0,210.0,1024.4
2015,1,14,14,-7.9,-12.8,68.0,13.0,190.0,1023.6
2015,1,14,15,-7.8,-11.8,73.0,16.0,190.0,1023.8
2015,1,14,16,-8.1,-12.1,73.0,13.0,190.0,1024.2
2015,1,14,17,-10.7,-14.0,77.0,13.0,160.0,1024.0
2015,1,14,18,-10.4,-14.4,73.0,11.0,160.0,1023.3
2015,1,14,19,-8.3,-11.3,79.0,14.0,200.0,1023.0
2015,1,14,20,-8.8,-11.3,82.0,12.0,200.0,1022.4
2015,1,14,21,-9.8,-12.6,80.0,16.0,180.0,1022.0
2015,1,14,22,-11.2,-12.7,89.0,17.0,170.0,1021.6
2015,1,14,23,-9.0,-11.1,85.0,18.0,190.0,1020.9
2015,1,15,0,-9.3,-11.5,84.0,13.0,190.0,1020.0
2015,1,15,1,-10.2,-11.3,92.0,5.0,160.0,1019.2
2015,1,15,2,-14.7,-16.1,89.0,4.0,350.0,1019.3
2015,1,15,3,-16.5,-18.3,86.0,3.0,300.0,1018.7
2015,1,15,4,-18.4,-20.6,83.0,3.0,350.0,1018.4
2015,1,15,5,-17.8,-19.9,84.0,3.0,360.0,1018.0
2015,1,15,6,-12.6,-14.1,89.0,7.0,100.0,1017.4
2015,1,15,7,-12.8,-14.4,88.0,1.0,360.0,1016.5
2015,1,15,8,-11.9,-13.2,90.0,2.0,360.0,1015.6
2015,1,15,9,-10.9,-12.2,90.0,4.0,90.0,1014.8
2015,1,15,10,-8.3,-9.4,92.0,5.0,100.0,1015.1
2015,1,15,12,-5.5,-6.6,92.0,5.0,90.0,1013.9
2015,1,15,13,-4.4,-6.6,85.0,4.0,60.0,1012.2
2015,1,15,14,-3.9,-6.7,81.0,2.0,360.0,1011.1
2015,1,15,15,-4.1,-7.2,79.0,4.0,360.0,1010.3
2015,1,15,16,-4.4,-7.5,79.0,3.0,360.0,1009.8
2015,1,15,17,-4.8,-6.5,88.0,7.0,350.0,1009.4
2015,1,15,18,-4.8,-6.9,85.0,3.0,270.0,1009.2
2015,1,15,19,-4.8,-7.3,83.0,7.0,210.0,1009.2
2015,1,15,20,-5.6,-8.0,83.0,6.0,160.0,1008.4
2015,1,15,21,-8.1,-9.2,92.0,2.0,360.0,1007.8
2015,1,15,22,-8.4,-9.6,91.0,9.0,130.0,1006.8
2015,1,15,23,-6.9,-8.4,89.0,8.0,120.0,1005.6
2015,1,16,0,-7.0,-8.7,88.0,10.0,140.0,1004.3
2015,1,16,1,-6.5,-7.7,91.0,8.0,140.0,1003.1
2015,1,16,2,-4.8,-6.2,90.0,17.0,160.0,1002.8
2015,1,16,3,-4.5,-5.8,91.0,11.0,130.0,1001.5
2015,1,16,4,-3.9,-5.0,92.0,19.0,160.0,1001.0
2015,1,16,5,-3.4,-4.2,94.0,22.0,140.0,999.6
2015,1,16,6,-3.2,-4.0,94.0,13.0,110.0,997.7
2015,1,16,7,-3.1,-3.8,95.0,17.0,120.0,996.5
2015,1,16,8,-3.0,-3.6,96.0,17.0,110.0,995.4
2015,1,16,9,-2.6,-3.3,95.0,16.0,120.0,994.5
2015,1,16,10,-1.9,-2.7,94.0,14.0,140.0,993.9
2015,1,16,11,-1.2,-2.0,94.0,20.0,150.0,992.5
2015,1,16,12,-0.2,-1.3,92.0,25.0,160.0,990.7
2015,1,16,13,0.5,-0.5,93.0,20.0,180.0,989.6
2015,1,16,14,1.3,0.0,91.0,16.0,210.0,988.7
2015,1,16,15,1.3,-0.8,86.0,24.0,230.0,989.1
2015,1,16,16,-0.7,-4.4,76.0,27.0,260.0,990.2
2015,1,16,17,-1.8,-4.8,80.0,21.0,260.0,990.9
2015,1,16,18,-2.4,-4.9,83.0,17.0,250.0,991.5
2015,1,16,19,-3.6,-6.1,83.0,10.0,230.0,992.1
2015,1,16,20,-4.3,-6.2,87.0,7.0,240.0,992.3
2015,1,16,21,-6.6,-8.1,89.0,2.0,360.0,992.1
2015,1,16,22,-4.8,-6.3,89.0,11.0,260.0,992.9
2015,1,16,23,-7.3,-9.7,83.0,24.0,290.0,994.1
2015,1,17,0,-9.8,-13.6,74.0,23.0,270.0,995.4
2015,1,17,1,-12.9,-17.3,70.0,29.0,290.0,996.4
2015,1,17,2,-15.0,-20.0,66.0,28.0,280.0,997.9
2015,1,17,3,-16.7,-22.0,64.0,24.0,280.0,999.4
2015,1,17,4,-17.8,-23.4,62.0,23.0,270.0,1000.1
2015,1,17,5,-18.8,-25.0,59.0,24.0,280.0,1000.8
